project_id,project_name,department,project_type,location,budget,expenditure,planned_duration_days,time_elapsed_days,completion_percentage,total_milestones,completed_milestones,delayed_milestones,pending_milestones,risk_score,delay_level
PRJ-1001,Infrastructure Project - Delhi NCR #1,Ministry of Electronics & IT,Infrastructure,Delhi NCR,2598.01,1020.4,681,235,33.62,39,13,0,26,4.16,LOW
PRJ-1002,Infrastructure Project - Hyderabad #2,Ministry of Road Transport & Highways,Infrastructure,Hyderabad,821.99,77.7,1412,182,10.51,39,4,3,32,6.57,MEDIUM
PRJ-1003,Water & Sanitation Project - Delhi NCR #3,Ministry of Power,Water & Sanitation,Delhi NCR,2658.24,2263.95,506,439,87.79,14,12,0,2,2.14,LOW
PRJ-1004,Infrastructure Project - Ahmedabad #4,Ministry of Road Transport & Highways,Infrastructure,Ahmedabad,347.54,393.11,884,675,93.98,34,31,0,3,2.25,LOW
PRJ-1005,Infrastructure Project - Jaipur #5,Ministry of Urban Development,Infrastructure,Jaipur,1033.19,784.9,1467,1144,61.72,17,10,2,5,2.81,MEDIUM
PRJ-1006,Water & Sanitation Project - Chennai #6,Ministry of Railways,Water & Sanitation,Chennai,3448.42,2702.3,656,690,79.15,34,26,2,6,2.57,HIGH
PRJ-1007,Energy & Power Project - Hyderabad #7,Ministry of Power,Energy & Power,Hyderabad,2348.91,2640.22,1617,1827,100.0,15,15,0,0,0.49,LOW
PRJ-1008,Urban Infrastructure Project - Chennai #8,Ministry of Urban Development,Urban Infrastructure,Chennai,3463.44,2811.38,1490,1276,89.22,25,22,0,3,2.09,LOW
PRJ-1009,Water & Sanitation Project - Delhi NCR #9,Ministry of Railways,Water & Sanitation,Delhi NCR,2819.61,736.32,1001,394,28.84,25,7,2,16,5.36,MEDIUM
PRJ-1010,Urban Infrastructure Project - Bengaluru #10,Ministry of Electronics & IT,Urban Infrastructure,Bengaluru,934.43,904.52,685,629,90.51,32,28,0,4,1.27,LOW
PRJ-1011,Transportation Project - Jaipur #11,Ministry of Railways,Transportation,Jaipur,1732.37,164.97,1727,262,11.14,15,1,2,12,6.09,MEDIUM
PRJ-1012,Urban Infrastructure Project - Ahmedabad #12,Ministry of Road Transport & Highways,Urban Infrastructure,Ahmedabad,2089.65,1343.7,1138,776,50.02,5,2,0,3,2.73,MEDIUM
PRJ-1013,Water & Sanitation Project - Chennai #13,Ministry of Health & Family Welfare,Water & Sanitation,Chennai,2692.41,555.24,876,195,20.27,34,6,0,28,5.43,LOW
